parkCode,states,fullName,designation,latitude,longitude,latLong,fee_usd,fee_type,fee_description
alag,AK,Alagnak Wild River,Wild River,59.05180188,-156.112002,"lat:59.05180188, long:-156.112002",0.0,No Entrance Free,None. There is no fee
anch,AK,Alaska Public Lands,,61.2188,-149.894536,"lat:61.2188, long:-149.894536",0.0,Free Admittance,No entry fee to visit the visitors center
aleu,AK,Aleutian Islands World War II National Historic Area,National Historic Area,53.9143,-166.5197,"lat:53.9143, long:-166.5197",6.0,Land Use Permit - one person,The park is on private land owned by the Ounalashka Corporation.  To visit the historic area you need to purchase a permit.
aleu,AK,Aleutian Islands World War II National Historic Area,National Historic Area,53.9143,-166.5197,"lat:53.9143, long:-166.5197",10.0,Land Use Permit - family,The park is on private land owned by the Ounalashka Corporation.  To visit the historic area you need to purchase a permit.
ania,AK,Aniakchak National Monument & Preserve,National Monument & Preserve,56.85317675,-157.5544362,"lat:56.85317675, long:-157.5544362",0.0,No Entrance Fee,There is no fee to enter Aniakchak National Monument and Preserve
bela,AK,Bering Land Bridge National Preserve,National Preserve,65.96087902,-164.4086432,"lat:65.96087902, long:-164.4086432",0.0,Park Entrance,There is no fee to enter the preserve.
cakr,AK,Cape Krusenstern National Monument,National Monument,67.41499986,-163.5037786,"lat:67.41499986, long:-163.5037786",0.0,Free Entrance,There is no fee required to visit Cape Krusenstern National Monument
dena,AK,Denali National Park & Preserve,National Park & Preserve,63.29777484,-151.0526568,"lat:63.29777484, long:-151.0526568",15.0,Denali Individual Weekly Pass,"Admits one individual, 16 years and up."
dena,AK,Denali National Park & Preserve,National Park & Preserve,63.29777484,-151.0526568,"lat:63.29777484, long:-151.0526568",45.0,Denali Annual Pass,"This pass is valid for 12 months from the date of purchase. The pass covers the cardholder plus up to three fellow travelers. Up to two names can be written on the pass, meaning it can be used by either cardholder."
gaar,AK,Gates Of The Arctic National Park & Preserve,National Park & Preserve,67.75961636,-153.2917758,"lat:67.75961636, long:-153.2917758",0.0,Entrance Fee,There is no entrance fee for Gates of the Arctic.
glba,AK,Glacier Bay National Park & Preserve,National Park & Preserve,58.80086718,-136.8407579,"lat:58.80086718, long:-136.8407579",0.0,No Entrance Fee,There is no entrance fee to enter Glacier Bay National Park and Preserve.
inup,AK,Iñupiat Heritage Center,,71.29832445,-156.7535863,"lat:71.29832445, long:-156.7535863",10.0,Adults,Adults (Age 18-59)
inup,AK,Iñupiat Heritage Center,,71.29832445,-156.7535863,"lat:71.29832445, long:-156.7535863",5.0,Youth,Youth (Age 7-17)
inup,AK,Iñupiat Heritage Center,,71.29832445,-156.7535863,"lat:71.29832445, long:-156.7535863",5.0,College students,
