Park Code,State(s),Park Name,Designation,Latitude,Longitude,Coordinates,Fee (USD),Fee Type,Fee Description
alag,AK,Alagnak Wild River,Wild River,59.05180188,-156.112002,"lat:59.05180188, long:-156.112002",$0.00,No Fee,This location does not charge an entrance fee.
anch,AK,Alaska Public Lands,,61.2188,-149.894536,"lat:61.2188, long:-149.894536",$0.00,No Fee,This location does not charge an entrance fee.
aleu,AK,Aleutian Islands World War II National Historic Area,National Historic Area,53.9143,-166.5197,"lat:53.9143, long:-166.5197",$0.00,No Fee,This location does not charge an entrance fee.
ania,AK,Aniakchak National Monument & Preserve,National Monument & Preserve,56.85317675,-157.5544362,"lat:56.85317675, long:-157.5544362",$0.00,No Fee,This location does not charge an entrance fee.
bela,AK,Bering Land Bridge National Preserve,National Preserve,65.96087902,-164.4086432,"lat:65.96087902, long:-164.4086432",$0.00,No Fee,This location does not charge an entrance fee.
cakr,AK,Cape Krusenstern National Monument,National Monument,67.41499986,-163.5037786,"lat:67.41499986, long:-163.5037786",$0.00,No Fee,This location does not charge an entrance fee.
dena,AK,Denali National Park & Preserve,National Park & Preserve,63.29777484,-151.0526568,"lat:63.29777484, long:-151.0526568",$15.00,Entrance - Per Person,"Denali charges an entrance fee year-round. Youth age 15 or younger are free. For people age 16 or older, the $15 entrance fee provides a 7-day entrance permit. Be prepared to show your receipt or pass (digital or physical) if requested by park staff."
gaar,AK,Gates Of The Arctic National Park & Preserve,National Park & Preserve,67.75961636,-153.2917758,"lat:67.75961636, long:-153.2917758",$0.00,No Fee,This location does not charge an entrance fee.
glba,AK,Glacier Bay National Park & Preserve,National Park & Preserve,58.80086718,-136.8407579,"lat:58.80086718, long:-136.8407579",$0.00,No Fee,This location does not charge an entrance fee.
inup,AK,Iñupiat Heritage Center,,71.29832445,-156.7535863,"lat:71.29832445, long:-156.7535863",$0.00,No Fee,This location does not charge an entrance fee.
katm,AK,Katmai National Park & Preserve,National Park & Preserve,58.62235668,-155.0126574,"lat:58.62235668, long:-155.0126574",$0.00,No Fee,This location does not charge an entrance fee.
kefj,AK,Kenai Fjords National Park,National Park,59.81804414,-150.106502,"lat:59.81804414, long:-150.106502",$0.00,No Fee,This location does not charge an entrance fee.
klgo,AK,Klondike Gold Rush National Historical Park,National Historical Park,59.61042373,-135.2618535,"lat:59.61042373, long:-135.2618535",$0.00,No Fee,This location does not charge an entrance fee.
kova,AK,Kobuk Valley National Park,National Park,67.35631336,-159.2002293,"lat:67.35631336, long:-159.2002293",$0.00,No Fee,This location does not charge an entrance fee.
