parkCode	states	fullName	designation	states	latLong
appa	CT,GA,MA,MD,ME,NC,NH,NJ,NY,PA,TN,VA,VT,WV	Appalachian National Scenic Trail	National Scenic Trail	CT,GA,MA,MD,ME,NC,NH,NJ,NY,PA,TN,VA,VT,WV	lat:40.41029575, long:-76.4337548
apco	VA	Appomattox Court House National Historical Park	National Historical Park	VA	lat:37.38022164, long:-78.79856982
arho	VA	Arlington House, The Robert E. Lee Memorial		VA	lat:38.8822021484, long:-77.0734786987
asis	MD,VA	Assateague Island National Seashore	National Seashore	MD,VA	lat:38.05593172, long:-75.24524611
blri	NC,VA	Blue Ridge Parkway	Parkway	NC,VA	lat:35.5657195274, long:-82.486484587
bowa	VA	Booker T Washington National Monument	National Monument	VA	lat:37.11520539, long:-79.73185833
came	VA	Cape Henry Memorial Part of Colonial National Historical Park	Part of Colonial National Historical Park	VA	lat:36.9278094, long:-76.0088219
cajo	VA,MD,DE,DC,PA,NY	Captain John Smith Chesapeake National Historic Trail	National Historic Trail	VA,MD,DE,DC,PA,NY	lat:38.971601, long:-76.483355
cebe	VA	Cedar Creek & Belle Grove National Historical Park	National Historical Park	VA	lat:39.0093576, long:-78.30618934
cbpo	DC,DE,MD,NY,PA,VA,WV	Chesapeake Bay		DC,DE,MD,NY,PA,VA,WV	lat:38.971601, long:-76.483355
cwdw	DC,MD,VA	Civil War Defenses of Washington		DC,MD,VA	lat:38.9644, long:-77.0292
colo	VA	Colonial National Historical Park	National Historical Park	VA	lat:37.22824435, long:-76.61998123
cuga	KY,TN,VA	Cumberland Gap National Historical Park	National Historical Park	KY,TN,VA	lat:36.62503076, long:-83.6114083
fomr	VA	Fort Monroe National Monument	National Monument	VA	lat:37.01733343, long:-76.30103195
frsp	VA	Fredericksburg & Spotsylvania National Military Park	National Military Park	VA	lat:38.29378, long:-77.46734
gewa	VA	George Washington Birthplace National Monument	National Monument	VA	lat:38.19362603, long:-76.92079458
gwmp	DC,MD,VA	George Washington Memorial Parkway	Memorial Parkway	DC,MD,VA	lat:38.9628, long:-77.1495
grfa	VA	Great Falls Park	Park	VA	lat:38.98776107, long:-77.25128326
grsp	VA	Green Springs		VA	lat:38.037099, long:-78.189823
hafe	WV,VA,MD	Harpers Ferry National Historical Park	National Historical Park	WV,VA,MD	lat:39.31865949, long:-77.74088546
jame	VA	Historic Jamestowne Part of Colonial National Historical Park	Part of Colonial National Historical Park	VA	lat:37.2065, long:-76.7538
mawa	VA	Maggie L Walker National Historic Site	National Historic Site	VA	lat:37.54781499, long:-77.43746979
mana	VA	Manassas National Battlefield Park	National Battlefield Park	VA	lat:38.81710063, long:-77.5353468
ovvi	NC,SC,TN,VA	Overmountain Victory National Historic Trail	National Historic Trail	NC,SC,TN,VA	lat:35.14044, long:-81.377
pete	VA	Petersburg National Battlefield	National Battlefield	VA	lat:37.19109957, long:-77.47594865
pohe	DC,MD,PA,VA	Potomac Heritage National Scenic Trail	National Scenic Trail	DC,MD,PA,VA	lat:39.15060133, long:-77.52301085
prwi	VA	Prince William Forest Park	Park	VA	lat:38.58589108, long:-77.38910997
rich	VA	Richmond National Battlefield Park	National Battlefield Park	VA	lat:37.48774472, long:-77.29107785
shen	VA	Shenandoah National Park	National Park	VA	lat:38.49236644, long:-78.46907715
stsp	MD,VA,DC	Star-Spangled Banner National Historic Trail	National Historic Trail	MD,VA,DC	lat:39.2872505188, long:-76.6034317017
waro	MA,RI,CT,NY,NJ,PA,DE,MD,VA,DC	Washington-Rochambeau Revolutionary Route National Historic Trail	National Historic Trail	MA,RI,CT,NY,NJ,PA,DE,MD,VA,DC	lat:40.0958204557, long:-74.8563515109
wotr	VA	Wolf Trap National Park for the Performing Arts		VA	lat:38.93854526, long:-77.265089
york	VA	Yorktown Battlefield Part of Colonial National Historical Park	Part of Colonial National Historical Park	VA	lat:37.2195, long:-76.4983
